author,price,rating,title
Serg Masís,0,222,"Programming the Raspberry Pi, Third Edition: Getting Started with Python"
Matt Harrison,32,39,Python for Beginners: Beginner Tips and tricks for learning Python Programming
 and ,39,85,Impractical Python Projects: Playful Programming Activities to Make You Smarter
Theodore Petrou,32,159,"Mastering Object-Oriented Python: Build powerful applications with reusable code using OOP design patterns and Python 3.7, 2nd Edition"
Jason Clark,0,10,Mastering GUI Programming with Python: Develop impressive cross-platform GUI applications with PyQt
 and ,44,2,"Python 3 Object-Oriented Programming: Build robust and maintainable software with object-oriented design patterns in Python 3.8, 3rd Edition"
Christopher Gatterdam,29,364,Machine Learning: 4 Books in 1: A Complete Overview for Beginners to Master the Basics of Python Programming and Understand How to Build Artificial Intelligence Through Data Science
Simon Monk,0,849,Python Programming and Visualization for Scientists
Eleanor  Madison,16,837,"Invent Your Own Computer Games with Python, 4E"
Lee Vaughan,31,47,Python for Kids: A Playful Introduction to Programming
Steven F. Lott,27,417,Python Programming with Design Patterns
Alan D. Moore,42,66,"Python Programming for Beginners: An Introduction to the Python Computer Language and Computer Programming (Python, Python 3, Python Tutorial)"
Dusty Phillips,16,80,"Zero To Mastery In Python Programming, Best Python Book For Beginners, This Python Book Covers A-Z About Programming In Python, Also Comes With Python ... (Zero To Mastery Series By Vei Publishing)"
Samuel Hack,9,370,"Learn Robotics Programming: Build and control AI-enabled autonomous robots using the Raspberry Pi and Python, 2nd Edition"
 and ,0,122,Think Python: How to Think Like a Computer Scientist
Sean Antony,34,145,Python: This Book Includes: Learn How To Develop Programs And Apps In 7 Days With Python Programming And Start Deep Hands-on Learning For Beginners of Data Science And Machine Learning.
Alex Decaria,2,236,Python Programming for Beginners: A Kid's Guide to Coding Fundamentals
", ",55,1,"Python: Programming: Your Step By Step Guide To Easily Learn Python in 7 Days (Python for Beginners, Python Programming for Beginners, Learn Python, Python Language)"
Grant W Petty,0,121,COMPUTER PROGRAMMING AND CYBER SECURITY FOR BEGINNERS: PYTHON: Give your professional possibilities a boost with the Most Useful and Efficient Coding Program
", et al.",9,23,Beyond the Basic Stuff with Python: Best Practices for Writing Clean Code
Al Sweigart,35,"1,121",Python: Programming For Beginners: Learn The Fundamentals of Python in 7 Days
Jason R. Briggs,0,17,Game Development Using Python
James W. Cooper,50,3,PYTHON FOR BEGINNERS: Enter the Real World of Python and Learn How to Think Like a Programmer
Jason Cannon,57,28,Python for Beginners: A crash course to learn Python Programming in 1 Week
Danny Staple,36,101,"System Design Interview – An insider's guide, Second Edition"
Allen B. Downey,44,282,"Hello World!: A complete Python-based computer programming tutorial with fun illustrations, examples, and hand-on exercises."
Oliver R Simpson,37,27,201 Python Programming Exercises Volume 2
 and ,29,27,Bioinformatics Programming Using Python: Practical Programming for Biological Data
Code Developer Academy,47,145,Python Scripting for ArcGIS Pro
Patricia Foster,0,107,Effective Python: 90 Specific Ways to Write Better Python (Effective Software Development Series)
iCode Academy,17,47,"Advanced Python Programming: Build high performance, concurrent, and multi-threaded apps with Python using proven design patterns"
 and ,44,45,"Practical Python Programming for IoT: Build advanced IoT projects using a Raspberry Pi 4, MQTT, RESTful APIs, WebSockets, and Python 3"
Ben Shaw,17,45,Web Development with Django: Learn to build modern web applications with a Python-based framework
", ",2,236,Python: Programming For Beginners: Learn The Fundamentals of Python in 7 Days
Saurabh Badhwar,44,56,Introduction to Computing and Programming in Python (2-downloads)
", et al.",39,58,Practical Programming: An Introduction to Computer Science Using Python 3.6
Michael Knapp,0,9,Python for (Absolute) Beginners: A Practical Introduction to Modern Python with Simple Hands-on Projects (Learn Real Programming Book 1)
 and ,67,"2,589","Fluent Python: Clear, Concise, and Effective Programming"
Python Programming,49,310,"Machine Learning for Time-Series with Python: Forecast, predict, and detect anomalies with state-of-the-art machine learning methods"
Mercedes Guijarro-Crouch,27,41,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems"
 and ,36,50,"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow 2, 3rd Edition"
Barbara Ericson,39,"2,649","Tiny Python Projects: 21 small fun projects for Python beginners designed to build programming skill, teach new algorithms and techniques, and introduce software testing"
Paul Gries,0,66,ETHICAL HACKING AND CYBER SECURITY FOR BEGINNERS : Computer Programming and Python Machine Learning Ethical Hacking Coding and Cybersecurity For Beginners
", ",63,145,Introduction to Programming in Python: An Interdisciplinary Approach
Jennifer Campbell,0,442,"AI: Artificial Intelligence, Machine Learning, Ethics, Blockchain, Banking Foundations, Investor, SCIFI, Python, Marketing, Strategy, Programming, Robots, Science Fiction, Trading Bots & China."
", et al.",11,327,"C Programming Language, 2nd Edition"
Luciano Ramalho,29,9,Bite-Size Python: An Introduction to Python Programming
Ben Auffarth,40,30,PYTHON PROGRAMMING: 3 BOOKS IN 1: The Complete guide to Learn Everything you Need to Know about Python
Aurélien Géron,15,"5,981",Python Programming: An Introduction to Computer Science
Sebastian Raschka,0,100,"Learn Python Quickly: A Complete Beginner’s Guide to Learning Python, Even If You’re New to Programming (Crash Course With Hands-On Project)"
 and ,45,30,"Python Coding and Programming: Start to Learn the Hard Core of Computer Programming, Data Analysis and Coding Project in Python"
Vahid Mirjalili,58,16,Artificial Intelligence in Finance: A Python-Based Guide
Ken Youens-Clark,44,235,Cracking the Coding Interview: 189 Programming Questions and Solutions
MASON STEVEN,5,86,"Test-Driven Development with Python: Obey the Testing Goat: Using Django, Selenium, and JavaScript"
Robert Sedgewick,17,32,"Introduction to Programming Using Python, An (2-downloads)"
", ",49,257,The Super Simple Programming Book: Learn Basic Programming Concepts With Python
Kevin Wayne,44,313,Python Programming For Beginners - Learn The Basics Of Python In 7 Days!
", et al.",34,3,Learn Robotics Programming: Build and control autonomous robots using Raspberry Pi 3 and Python
Jerry Ramonyai,23,474,Practical Maya Programming with Python
Brian W. Kernighan,57,6,Artificial Intelligence and Deep Learning with Python: Every Line of Code Explained For Readers New to AI and New to Python
 and ,23,61,Introducing Python: Modern Computing in Simple Packages
Dennis M. Ritchie,28,"1,272",OCA / OCP Java SE 8 Programmer Certification Kit: Exam 1Z0-808 and Exam 1Z0-809
April Speight,19,7,"Python for Beginners: 2 Books in 1: Python Programming for Beginners, Python Workbook"
Clive Campbell,13,97,"Python Cookbook, Third Edition"
John Zelle,53,18,"PYTHON PROGRAMMING: 3 BOOKS IN 1 Learn machine learning, data science and analysis with a crash course for beginners. Included coding exercises for artificial intelligence, Numpy, Pandas and Ipython."
A high quality digital reading experience.,28,173,Introduction to Computing Using Python: An Application Development Focus
Michael Learn,49,20,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython"
", ",34,63,Object-Oriented Programming in Python
Kevin Tromp,14,264,"Python in 24 Hours, Sams Teach Yourself"
", et al.",0,72,Python Distilled (Developer's Library)
Yves Hilpisch,17,2,Teach Your Kids to Code: A Parent-Friendly Guide to Python Programming
Gayle Laakmann McDowell,45,137,Python API Development Fundamentals: Develop a full-stack web application with Python and Flask
Harry Percival,0,2,Python Programming for Beginners: The complete Guide to Learn Python Quickly and Confidently. Included Practical and Advanced Activities to Explain How Python can Simplify your Life
David I. Schneider,34,38,"Coding For Kids 2022: Python Programming Very Easy: Coding And Design Games, And All Information For Coding Bundle"
Stefan Jansen,44,174,"Machine Learning for Algorithmic Trading: Predictive models to extract signals from market and alternative data for systematic trading strategies with Python, 2nd Edition"
Brandon Rhodes,27,20,"Python Coding for Teens Learn to Code Course for Beginners: Introduction to Python Programming Language. Guide to Coding with 139 activities with ... Teens, Adults. Practical Programming Intro)"
 and ,40,89,Foundations of Python Network Programming
John Goerzen,17,118,Fundamentals of Python: First Programs
Kenneth A. Lambert,41,158,Programming Bitcoin: Learn How to Program Bitcoin from Scratch
Jimmy Song,0,55,Python: Programming Basics for Absolute Beginners
Martin Fitzpatrick,14,2,Create GUI Applications with Python & Qt5 (PyQt5 Edition): The hands-on guide to making apps with Python
Ray Yao,0,2,"Python: Python Programming, In 8 Hours, For Beginners, Learn Coding Fast: Python Programming Language Crash Course Tutorial, Quick Start Guide & Exercises"
", ",49,1,GUI Programming with Python and Kivy
Lua C. Perl,43,1,Learning Test-Driven Development: A Polyglot Guide to Writing Uncluttered Code
", et al.",67,64,"Discovering Computer Science: Interdisciplinary Problems, Principles, and Python Programming (Chapman & Hall/CRC Textbooks in Computing)"
Kamil Pakula,51,283,Python for Algorithmic Trading: From Idea to Cloud Deployment
Saleem Siddiqui,20,20,Python by Example: Learning to Program in 150 Challenges
Yves Hilpisch,0,133,"Deep Learning with Python, Second Edition"
Nichola Lacey,19,33,"Computer Programming: The Bible: Learn from the basics to advanced of Python, C, C++, C#, HTML Coding, and Black Hat Hacking Step-by-Step in No Time!"
Francois Chollet,0,30,Python para Principiantes: 2 Libros en 1: Programación de Python para principiantes + Libro de trabajo de Python (Spanish Edition)
CyberPunk Architects,44,4,"Python Programming: 3 Books in 1: Ultimate Beginner’s, Intermediate & Advanced Guide to Learn Python Step-by-Step"
 and ,59,24,Python Network Programming Techniques: 50 real-world recipes to automate infrastructure networks and overcome networking challenges with Python
Adam Johnson,31,4,Python Workout: 50 ten-minute exercises
Programming Languages Academy,0,993,Python Network Programming Cookbook - Second Edition: Practical solutions to overcome real-world networking challenges
Ryan Turner,32,64,"Python Programming For Beginners: Learn The Basics Of Python Programming (Python Crash Course, Programming for Dummies)"
 and ,0,22,"Python Programming for Raspberry Pi, Sams Teach Yourself in 24 Hours (Sams Teach Yourself -- Hours)"
Russell Newton,10,465,Python Machine Learning for Beginners: All You Need to Know about Machine Learning with Python
Marcel Neidinger,28,37,Beginners Guide to TI-84 Plus CE Python Programming Calculator: A Simple Beginners Guide to Texas Instrument TI-84 Plus CE Python Programming Calculator with Tips and Tricks to Write Python Codes
Reuven M. Lerner,41,229,Data Science from Scratch: First Principles with Python
Pradeeban Kathiravelu,12,3,Advanced Python Scripting for ArcGIS Pro
 and ,44,12,Beginning Programming with Python For Dummies (For Dummies (Computer/Tech))
Dr. M. O. Faruque Sarker,29,209,Introduction to GIS Programming and Fundamentals with Python and ArcGIS®
James Tudor,0,7,Building Web Apps with Python and Flask: Learn to Develop and Deploy Responsive RESTful Web Applications Using Flask Framework (English Edition)
Richard Blum,43,7,Comprehensive Python Cheatsheet: PYTHON PROGRAMMING LANGUAGE
 and ,44,91,Python for Finance: Mastering Data-Driven Finance
Christine Bresnahan,38,57,Python Programming for Biology: Bioinformatics and Beyond
Alex Campbell,14,17,Exercises in Programming Style
Obakoma G. Martins,26,446,Python for Biologists: A complete programming course for beginners
Joel Grus,29,11,"Python Programming For Beginners In 2021: Learn Python In 5 Days With Step By Step Guidance, Hands-on Exercises And Solution (Fun Tutorial For Novice Programmers) (Easy Coding Crash Course)"
Paul A. Zandbergen,0,11,Learn to Code by Solving Problems: A Python Programming Primer
John Paul Mueller,9,80,Black Hat Python: Python Programming for Hackers and Pentesters
Chaowei Yang,49,15,"Functional Python Programming: Discover the power of functional programming, generator functions, lazy evaluation, the built-in itertools library, and monads, 2nd Edition"
Malhar Lathkar,45,5,Python Programming: The Crash Course to Learn how To Master Python Coding Language with Practical Exercises to Apply Theory and Some Tips and Tricks to Learn Faster Computer Programming
GLC Srl,23,57,"Modern Tkinter for Busy Python Developers: Quickly learn to create great looking user interfaces for Windows, Mac and Linux using Python's standard GUI toolkit"
Yves Hilpisch,21,64,Learn Web Development with Python: Get hands-on with Python Programming and Django web development
Tim J. Stevens,0,716,Pandas in Action
Cristina Videira Lopes,14,66,Real-World Python: A Hacker's Guide to Solving Problems with Code
Dr Martin Jones,49,66,"Computer Programming for Beginners and Cybersecurity: The Ultimate Manual to Learn step by step how to Professionally Code and Protect Your Data. This Book includes: Python, Java, C++ & Cybersecurity"
Michael Knapp,0,168,Python: Programming for Advanced: Learn the Fundamentals of Python in 7 Days
 and ,2,141,Python: Programming for Intermediates: Learn the Fundamentals of Python in 7 Days
Python Programming,62,31,Deep Learning: A Visual Approach
Michael Knapp,39,14,Hands-On Application Development with PyCharm: Accelerate your Python applications using practical coding techniques in PyCharm
 and ,0,"1,317",The Self-Taught Programmer: The Definitive Guide to Programming Professionally
Python Programming,39,36,Advancing into Analytics: From Excel to Python and R
Andrew Glassner,49,8,Hands-On Software Engineering with Python: Move beyond basic programming and construct reliable and efficient software with complex code
Quan Nguyen,9,73,Learning Scientific Programming with Python
Cory Althoff,33,66,Learn Quantum Computing with Python and IBM Quantum Experience: A hands-on introduction to quantum computing and writing your own quantum programs with Python
A high quality digital reading experience.,39,340,Django for Beginners: Build Websites with Python and Django
George Mount,46,92,Gray Hat Python: Python Programming for Hackers and Reverse Engineers
Brian Allbee,39,723,Elements of Programming Interviews: The Insiders' Guide
Christian Hill,11,367,"Coding for Kids: Scratch: Learn Coding Skills, Create 10 Fun Games, and Master Scratch"
Robert Loredo,0,10,"The Python Bible Volume 2: Python Programming For Intermediates (Advanced, Professional)"
William S. Vincent,36,"1,626",Design Patterns: Elements of Reusable Object-Oriented Software
Justin Seitz,29,86,"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib"
Adnan Aziz,24,176,The Python Workshop: Learn to code in Python and kickstart your career in software development or data science
", ",9,3,Python for the TI-84: Powerful Python programs and games for the TI-84 Plus CE Graphing Calculator (Practical Python Programming)
Tsung-Hsien Lee,0,406,"Python Programming: Your Advanced Guide To Learn Python in 7 Days: ( python guide , learning python , python programming projects , python tricks , python 3 )"
", et al.",0,71,"C++: The Ultimate Beginners Guide to Effectively Design, Develop, and Implement a Robust Program Step-by-Step (Computer Programming)"
Matthew Highland,0,15,"Python Programming: The Ultimate Guide from Beginner to Expert, All You Need to Know About Python, Tools, Tricks, Best Practices and Advanced Features"
Erich Gamma,39,57,Starting Out with Python Plus MyLab Programming with Pearson eText -- Access Card Package
", ",40,13,Practical Python Programming: 100+ Practical Python Programming Practices And Projects
Richard Helm,30,13,"Scientific Computing with Python: High-performance scientific computing with NumPy, SciPy, and pandas, 2nd Edition"
", et al.",0,17,Programming ArcGIS Pro with Python
Robert Johansson,0,7,Python Programming: for Engineers and Scientists
Andrew Bird,0,130,"Doing Math with Python: Use Programming to Explore Algebra, Statistics, Calculus, and More!"
", ",0,9,Learn Python Programming Quickly: A Beginner's Guide To Coding With Python By Learning Just 5 Simple Concepts. Start Coding Within 3 Hours.
Dr Lau Cher Han,12,41,"PYTHON PROGRAMMING FOR BEGINNERS: Your Personal Guide for Getting into Programming, Level Up Your Coding Skills from Scratch and Use Python Like A Mother Language (Python programming language)"
", et al.",110,215,Data Driven
Maurice J. Thompson,24,54,"PYTHON ALGORITHMS: A Complete Guide to Learn Python for Data Analysis, Machine Learning, and Coding from Scratch (Python programming language)"
 and ,62,24,"Coding for Kids: The Complete Guide Python Programming for kids, Learn to Code with Games"
Python Programming,59,28,Data Science Using Python and R (Wiley Series on Methods and Applications in Data Mining)
Clive Campbell,43,13,OpenSCAD Cookbook: OpenSCAD Recipes for learning 3D modeling (Practical Python Programming)
", ",43,25,"A Primer on Scientific Programming with Python (Texts in Computational Science and Engineering, 6)"
Austin R. Stoler,21,257,Python Programming: An Introduction to Computer Science
", et al.",0,1,Learn Quantum Computing with Python and Q#: A hands-on approach
Tony Gaddis,0,89,Head First Programming: A learner's guide to programming using the Python language
Emenwa Global,44,12,Python Network Programming: Conquer all your networking challenges with the powerful Python language
 and ,0,61,Developing Graphics Frameworks with Python and OpenGL
Ejike IfeanyiChukwu,25,20,"AI: Artificial Intelligence, Machine Learning, Ethics, Blockchain, Banking Foundations, Investor, SCIFI, Python, Marketing, Strategy, Programming, Robots, Science Fiction, Trading Bots & China."
Claus Führer,40,67,Hands-On GPU Programming with Python and CUDA: Explore high-performance parallel computing with CUDA
", ",24,11,"Computer Programming: This Book Includes: SQL, Linux, Java, Python, C#, Arduino, C# For Intermediates, Arduino For Intermediates Learn Any Computer Language In One Day Step by Step (#2022 Version): This Book Includes: SQL, Linux, Java, Python, C#, Arduino, C# for Intermediates, Arduino for Intermediates"
Jan Erik Solem,49,37,SQL AND Python Programming: 2 Books IN 1!
", et al.",0,274,"Math for Programmers: 3D graphics, machine learning, and simulations with Python"
Shane  Black,0,33,"SQL For Beginners: Comprehensive Programming Guide for Learning SQL Languages, Coding, Data Science and Mastering Databases (2022 Crash Course For All)"
Frederick Kaefer,22,3,Introduction to Python Programming for Business and Social Science Applications
 and ,0,"2,283",Algorithms to Live By: The Computer Science of Human Decisions
Paul Kaefer,11,"1,352","Programming Arduino: Getting Started with Sketches, Second Edition (Tab)"
Brian Christian,0,"1,487","Programming: 4 Manuscripts in 1 Book: Python for Beginners, Python 3 Guide, Learn Java, Excel 2016"
", ",35,2,Python GUI with MySQL: A Step By Step Guide to Database Programming
Tom Griffiths,0,161,Amazon Virtual Private Cloud: User Guide
", et al.",32,750,JavaScript: The Definitive Guide: Master the World's Most-Used Programming Language
Simon Monk,0,148,Introduction to Scientific Programming with Python (Simula SpringerBriefs on Computing Book 6)
Timothy C. Needham,46,657,Head First JavaScript Programming: A Brain-Friendly Guide
", ",34,113,"Python Testing with pytest: Simple, Rapid, Effective, and Scalable"
Zac Aleman,39,392,Python Basics: A Practical Introduction to Python 3
", et al.",0,9,"Coding For Kids: Python Programming - Code Games: The Ways Coding For Kids - Scratch Coding: Computer, Apps, And Web"
Vivian Siahaan,39,9,Effective Python Development for Biologists: Tools and techniques for building biological programs
 and ,0,92,Python: 3 Books in 1: Python Basics for Beginners + Python Automation Techniques and Web Scraping + Python for Data Science and Machine Learning
Rismon Hasiholan Sianipar,21,7,"Code This Game!: Make Your Game Using Python, Then Break Your Game to Create a New One!"
Amazon Web Services,39,57,"Mastering Flask Web Development: Build enterprise-grade, scalable Python web applications, 2nd Edition"
David Flanagan,0,5,Programming Computer Vision with Python: Tools and algorithms for analyzing images
Brian Okken,9,28,Advance Core Python Programming: Begin your Journey to Master the World of Python (English Edition)
David Amos,33,39,"Python Data Analysis: Perform data collection, data processing, wrangling, visualization, and model building using Python, 3rd Edition"
", ",0,36,"Coding Games In Python: Step by step no coding experience guide, learn to code for your awesome games on Windows 11"
Dan Bader,0,202,Python Programming: Your Intermediate Guide to Learn Python in 7 Days
", et al.",44,61,C++ Crash Course: A Fast-Paced Introduction
PATRICIA JASMINE,17,74,"Excel 2021: The complete illustrated guide lets you become a master of Excel. Tutorials, practical examples, and brand new 9-minute-a-day innovative method to become #1 in your workspace and beyond!"
Dr Martin Jones,24,295,"Coding for Absolute Beginners and Cybersecurity: 5 BOOKS IN 1 THE PROGRAMMING BIBLE: Learn Well the Fundamental Functions of Python, Java, C++ and How to Protect Your Data from Hacker Attacks"
Andy Vickler,0,6,"PYTHON PROGRAMMING FOR BEGINNERS: A CRASH COURSE WITH HANDS-ON PROJECTS TO LEARN PYTHON CODING, GAME PROGRAMMING WITH NO CODING EXPERIENCE IN 7 DAYS TO MASTER MACHINE LEARNING & BIG DATA ANALYSIS"
 and ,0,325,Think Like a Programmer: An Introduction to Creative Problem Solving
Helpful Matthew,0,17,"Learn Python Programming: This Book Will Teach You About the Language, Data Analysis, and Algorithms and Will Level up Your Skills in Computer Programming to Become an Expert Pythonista"
Meg Ray,17,22,Python 3 Programming: A Beginner Crash Course Guide to Learn Python 3 in One Week
", ",0,67,Python Machine Learning: A Step by Step Beginner’s Guide to Learn Machine Learning Using Python
Odd Dot,34,5,PYTHON PROGRAMMING: A BEGINNER;S GUIDE TO BECOME A MASTER PYTHON PROGRAMMER
", et al.",0,341,Effective Computation in Physics: Field Guide to Research with Python
Daniel Gaspar,15,16,Python Programming for Beginners: The Ultimate Guide to Learn Python Programming - The Complete Crash Course to Mastering Python with Practical Applications to Data Analysis.
 and ,11,14,"Learn JavaScript Quickly: A Complete Beginner’s Guide to Learning JavaScript, Even If You’re New to Programming (Crash Course With Hands-On Project)"
Jack Stouffer,44,97,Coding for Beginners: Python: A Step-by-Step Guide to Learning Python Programing with Game and App Development Projects (Learn to Code)
Jan Erik Solem,50,17,Python Algorithmic Trading Cookbook: All the recipes you need to implement your own algorithmic trading strategies in Python
Meenu Kohli,0,306,"Python 3 Standard Library by Example, The (Developer's Library)"
Avinash Navlani,0,1,Python for Beginners: The Ultimate Beginners Guide to Python Programming with Step by Step Guidance and Hands-On Examples.
", ",39,22,Programming for Computations - Python: A Gentle Introduction to Numerical Simulations with Python 3.6 (Texts in Computational Science and Engineering Book 15)
Armando Fandango,39,"1,174",Hardcore Programming for Mechanical Engineers: Build Engineering Applications from Scratch
", et al.",0,17,"Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python, R, and command-line tools"
Steve Cain,39,102,"Python Crash Course: A Hands-On, Project-Based Introduction to Programming"
Maurice J. Thompson,22,1,"Python Programming: A complete beginners guide on python machine learning, data science and tools (Computer Programming Book 1)"
", ",0,110,"Python One-Liners: Write Concise, Eloquent Python Like a Professional"
Ronald Hillman,0,138,python programming
", et al.",49,19,Data Jujitsu: The Art of Turning Data into Product
Christoph Durr,39,13,Competitive Programming in Python: 128 Algorithms to Develop your Coding Skills
Treesome Books,12,46,"Coding for Kids: A Hands-on Guide to Learning the Fundamentals of How to Code Games, Apps and Websites (Learn to Code)"
The Tech Academy,7,2,PCAP - Certified Associate in Python Programming Exam Practice Questions and Dumps: Exam Practice Questions for PCAP LATEST VERSION
", ",3,240,Learn Coding Basics in Hours with Python
Jack C. Stanley,7,3,Python Programming Notebook: A Python Programming Notebook|Journal|Diary For Daily Use
", et al.",45,35,MATLAB for Brain and Cognitive Scientists (The MIT Press)
Sanders Industries LLC Publishing,29,72,The Quick Python Book
Mike X Cohen,30,6,Visual Studio Code for Python Programmers
Naomi Ceder,0,9,Python Programming: Tips and Tricks: The Ultimate Cheatsheet for Python Programming (20+ tips and tricks)
April Speight,89,79,"Trader Construction Kit: Fundamental & Technical Analysis, Risk Management, Directional Trading, Spreads, Options, Quantitative Strategies, Execution, Position Management, Data Science & Programming"
CB Publishing,44,3,"Python Microservices Development: Build efficient and lightweight microservices using the Python tooling ecosystem, 2nd Edition"
Joel Rubano,0,53,"Coding For Kids: Programming Languages: Learn Languages Java, Coding, Python, Html, And Javascript"
Simon Fraser,0,52,C#: The Ultimate Intermediate Guide To Learn C# Programming Step By Step (Computer Programming)
 and ,23,"1,740",Python Programming: This Book Includes: Python for Beginners - Python for Data Science
Tarek Ziadé,99,70,"Introduction to Algorithms, 3rd Edition (The MIT Press)"
PATRICIA  JASMINE,24,"2,138",Think Java: How to Think Like a Computer Scientist
Daniel O'Reilly,0,6,C Programming: Language: A Step by Step Beginner's Guide to Learn C Programming in 7 Days
